Edad;SEXO;ALERTASROJAS;ALERTASNARANJAS;ALERTASACADEMICAS;ALERTASMANUALES;CAL.PSICOSOCIAL;CAL.FAMILIAR;CAL.SOCIECONOMICO;CAL.ACADEMICO;CRÉDITOS REPROBADOS;CRÉDITOS APROBADOS;CRÉDITOS CANCELADOS;CREDITOS INTENTADOS;PROMEDIO GLOBAL;ULTIMO ESTADO ACADÉMICO;APOYOS ECONÓMICO EN MATRICULA;APOYO INSTITUCIONAL;DESERSIÓN
18;M;6;8;0;0;3,09;0;18,42;4,55;0;49;0;49;4,016938776;Estado académico normal;SI;SI;NO
24;F;6;18;0;0;3,09;10,26;21,05;10,61;69;132;30;231;3,144029851;Advertencia académica;SI;SI;NO
19;M;6;17;0;0;4,12;25,64;13,16;7,58;0;49;0;49;4,221836735;Estado académico normal;SI;NO;NO
17;M;6;14;0;0;3,09;20,51;15,79;4,55;0;16;0;16;3,750625;Estado académico normal;SI;SI;NO
19;M;6;16;0;0;6,19;10,26;17,11;7,58;0;65;0;65;4,036307692;Estado académico normal;SI;NO;NO
19;F;6;10;0;0;4,12;12,82;11,84;6,06;0;56;5;61;3,694821429;Estado académico normal;SI;SI;NO
16;F;6;15;0;0;6,19;5,13;19,74;6,06;0;16;0;16;4,45625;Estado académico normal;SI;SI;NO
18;F;6;15;0;0;5,15;15,38;15,79;6,06;0;32;0;32;3,588125;Estado académico normal;SI;SI;NO
20;M;6;16;0;0;6,19;15,38;14,47;7,58;2;78;6;86;3,644875;Estado académico normal;SI;SI;NO
18;F;6;9;0;0;6,19;10,26;13,16;1,52;0;32;0;32;4,060625;Estado académico normal;SI;NO;SI
22;M;6;14;0;0;5,15;15,38;10,53;6,06;3;139;0;142;3,830211268;Estado académico normal;SI;SI;NO
19;M;5;12;0;0;4,12;7,69;13,16;7,58;0;82;3;85;3,999634146;Estado académico normal;SI;NO;NO
17;M;5;14;0;0;12,37;7,69;6,58;6,06;0;13;3;16;3,539230769;Estado académico normal;SI;SI;NO
22;M;5;10;0;0;7,22;7,69;5,26;9,09;0;35;27;62;3,568285714;Estado académico normal;SI;SI;NO
22;M;5;12;0;0;5,15;7,69;11,84;7,58;6;7;3;16;2,985384615;Advertencia académica;NO;NO;NO
20;M;5;13;0;0;4,12;2,56;13,16;12,12;21;72;17;110;3,437634409;Estado académico normal;SI;SI;NO
21;M;5;13;0;0;6,19;7,69;13,16;6,06;9;72;9;90;3,478024691;Estado académico normal;NO;NO;NO
20;M;5;12;0;0;0;0;18,42;1,52;7;102;12;121;3,777155963;Estado académico normal;SI;SI;NO
20;M;5;12;0;0;5,15;7,69;10,53;9,09;20;61;11;92;3,288641975;Estado académico normal;SI;SI;NO
20;M;5;12;0;0;4,12;5,13;18,42;3,03;2;84;12;98;3,970116279;Estado académico normal;SI;SI;NO
17;M;5;18;0;0;13,4;5,13;3,95;15,15;0;32;0;32;3,44625;Estado académico normal;NO;NO;NO
18;M;5;18;0;0;4,12;25,64;6,58;13,64;0;42;6;48;4;Estado académico normal;SI;NO;NO
17;M;5;11;0;0;1,03;7,69;15,79;7,58;0;54;0;54;3,908888889;Estado académico normal;SI;SI;NO
19;F;5;8;0;0;4,12;5,13;11,84;4,55;3;62;6;71;3,777692308;Estado académico normal;SI;SI;NO
22;M;5;9;0;0;2,06;17,95;9,21;4,55;4;119;0;123;3,866341463;Estado académico normal;NO;SI;NO
23;M;5;17;0;0;4,12;5,13;5,26;25,76;0;16;11;27;4,175;Estado académico normal;SI;SI;NO
22;M;5;12;0;0;7,22;15,38;3,95;9,09;6;14;12;32;2,9325;Advertencia académica;NO;SI;NO
18;M;5;10;0;0;1,03;15,38;13,16;4,55;3;28;0;31;3,619677419;Estado académico normal;SI;SI;NO
19;M;5;13;0;0;2,06;17,95;15,79;3,03;3;41;2;46;3,6625;Estado académico normal;SI;NO;NO
18;M;5;10;0;0;6,19;12,82;6,58;6,06;0;16;0;16;3,783125;Estado académico normal;NO;NO;NO
19;F;5;10;0;0;4,12;5,13;15,79;3,03;0;79;0;79;4,312151899;Estado académico normal;SI;NO;NO
19;M;5;15;0;0;5,15;7,69;14,47;9,09;25;24;14;63;3,02122449;Advertencia académica;SI;SI;NO
19;M;4;21;0;0;4,12;15,38;14,47;12,12;0;91;0;91;4,142527473;Estado académico normal;SI;SI;NO
18;M;4;10;0;0;4,12;10,26;9,21;4,55;0;12;0;12;3,716666667;Estado académico normal;NO;SI;NO
17;F;4;8;0;0;1,03;2,56;15,79;3,03;0;16;0;16;4,765625;Estado académico normal;SI;NO;NO
18;F;4;9;0;0;3,09;10,26;9,21;4,55;15;22;8;45;3,092162162;Estado académico normal;SI;NO;NO
18;M;4;14;0;0;7,22;7,69;10,53;6,06;0;33;0;33;3,843939394;Estado académico normal;NO;NO;NO
22;M;4;17;0;0;8,25;7,69;10,53;9,09;16;25;9;50;3,107317073;Suspensión académica;SI;SI;SI
24;F;4;15;0;0;4,12;15,38;10,53;7,58;17;126;19;162;3,424615385;Advertencia académica;NO;NO;NO
18;M;4;17;0;0;4,12;12,82;14,47;7,58;5;11;0;16;3,0425;Estado académico normal;SI;NO;NO
21;M;4;15;0;0;3,09;5,13;14,47;10,61;8;44;5;57;3,348461538;Advertencia académica;SI;SI;NO
21;M;4;14;0;0;5,15;12,82;13,16;3,03;6;105;0;111;3,800990991;Estado académico normal;NO;NO;NO
17;M;4;13;0;0;5,15;7,69;13,16;4,55;0;16;0;16;4,590625;Estado académico normal;SI;SI;NO
23;F;4;15;0;0;7,22;7,69;7,89;10,61;3;153;0;156;3,890705128;Estado académico normal;SI;NO;SI
18;M;4;10;0;0;5,15;2,56;13,16;3,03;7;29;6;42;3,090833333;Advertencia académica;SI;NO;NO
19;M;4;10;0;0;5,15;7,69;9,21;4,55;0;44;3;47;3,946818182;Estado académico normal;SI;NO;NO
18;M;4;15;0;0;4,12;12,82;11,84;3,03;0;16;0;16;4,28;Estado académico normal;SI;SI;NO
19;M;4;10;0;0;6,19;12,82;3,95;6,06;0;51;0;51;4,346470588;Estado académico normal;SI;NO;NO
19;M;4;19;0;0;8,25;12,82;13,16;6,06;0;49;0;49;4,311632653;Estado académico normal;NO;SI;NO
19;M;4;15;0;0;11,34;5,13;9,21;4,55;7;3;6;16;2,768;Advertencia académica;NO;SI;SI
20;M;4;12;0;0;1,03;7,69;14,47;7,58;0;79;3;82;3,963291139;Estado académico normal;SI;SI;NO
21;M;4;22;0;0;7,22;12,82;10,53;15,15;4;82;22;108;3,438837209;Estado académico normal;NO;SI;NO
20;M;4;14;0;0;2,06;10,26;7,89;15,15;0;22;19;41;3,587727273;Estado académico normal;NO;NO;NO
19;F;4;9;0;0;2,06;7,69;13,16;3,03;0;82;0;82;4,485609756;Estado académico normal;SI;SI;NO
18;M;4;11;0;0;5,15;0;5,26;15,15;0;16;0;16;3,515;Estado académico normal;NO;SI;NO
18;F;3;9;0;0;5,15;2,56;9,21;3,03;12;33;6;51;3,222222222;Advertencia académica;SI;NO;NO
20;F;3;7;0;0;3,09;0;9,21;4,55;0;65;0;65;4,033076923;Estado académico normal;SI;NO;NO
19;M;3;5;0;0;0;5,13;6,58;6,06;0;47;13;60;3,646595745;Estado académico normal;NO;SI;NO
19;F;3;6;0;0;3,09;0;2,63;10,61;13;4;6;23;1,911764706;Suspensión académica;NO;NO;SI
17;M;3;14;0;0;2,06;12,82;9,21;9,09;0;17;0;17;3,73;Estado académico normal;SI;NO;NO
17;M;3;14;0;0;5,15;2,56;6,58;13,64;9;1;5;15;1,688;Advertencia académica;NO;SI;SI
19;M;3;4;0;0;2,06;0;5,26;6,06;5;21;18;44;3,346923077;Estado académico normal;NO;SI;NO
23;M;3;14;0;0;0;10,26;17,11;4,55;11;124;12;147;3,589555556;Estado académico normal;SI;SI;NO
18;M;3;7;0;0;1,03;2,56;6,58;9,09;1;18;14;33;3,962105263;Estado académico normal;SI;NO;SI
18;M;3;10;0;0;1,03;7,69;10,53;6,06;2;22;8;32;3,233333333;Estado académico normal;NO;NO;SI
19;M;3;6;0;0;1,03;12,82;5,26;3,03;0;16;0;16;3,9875;Estado académico normal;SI;SI;NO
19;M;3;13;0;0;1,03;10,26;9,21;10,61;17;14;0;31;3,044193548;Advertencia académica;NO;NO;SI
17;F;3;7;0;0;7,22;0;2,63;6,06;3;13;0;16;3,4175;Estado académico normal;NO;SI;NO
19;M;3;11;0;0;2,06;2,56;11,84;7,58;2;36;11;49;3,426052632;Estado académico normal;SI;NO;NO
17;F;3;6;0;0;0;15,38;5,26;3,03;0;13;3;16;3,829230769;Estado académico normal;SI;SI;NO
18;F;3;8;0;0;1,03;5,13;11,84;3,03;1;24;2;27;4,3512;Estado académico normal;SI;SI;NO
25;F;3;13;0;0;2,06;5,13;11,84;9,09;5;66;3;74;3,602535211;Estado académico normal;SI;NO;NO
21;M;3;14;0;0;2,06;12,82;7,89;10,61;7;3;6;16;2,632;Advertencia académica;NO;SI;NO
19;M;3;4;0;0;0;0;0;0;3;52;6;61;3,853636364;Estado académico normal;SI;NO;NO
20;F;3;12;0;0;9,28;0;3,95;9,09;0;49;0;49;4,372040816;Estado académico normal;NO;NO;NO
18;M;3;14;0;0;8,25;5,13;5,26;9,09;4;6;6;16;2,583;Advertencia académica;NO;SI;SI
18;M;3;11;0;0;2,06;12,82;9,21;4,55;0;16;0;16;3,8525;Estado académico normal;SI;SI;NO
18;M;3;13;0;0;4,12;5,13;13,16;4,55;10;3;2;15;2,579230769;Advertencia académica;SI;NO;SI
17;F;2;7;0;0;2,06;7,69;5,26;3,03;10;0;6;16;1,411;Advertencia académica;NO;SI;NO
17;M;2;14;0;0;3,09;7,69;10,53;6,06;0;49;0;49;4,163469388;Estado académico normal;SI;NO;NO
18;M;2;10;0;0;2,06;2,56;6,58;9,09;0;70;0;70;3,691142857;Estado académico normal;NO;SI;NO
18;M;2;12;0;0;5,15;10,26;5,26;4,55;1;25;0;26;3,893461538;Estado académico normal;SI;SI;NO
19;F;2;14;0;0;3,09;12,82;7,89;6,06;11;2;3;16;1,997692308;Advertencia académica;SI;SI;SI
19;M;2;7;0;0;4,12;0;5,26;4,55;8;27;8;43;3,148857143;Advertencia académica;NO;SI;NO
